Time,#1出口氮氧化物,UNIT3:A18M010F,入口氮氧化物,#1SCR反应器加氨流量,有功功率,#3机净烟气NOx,E磨煤机6kV电动机接触器电流,B磨煤机6kV电动机接触器电流,C磨煤机6kV电动机接触器电流,F磨煤机6kV电动机接触器电流
125,24.2424,21,351.668,92.9792,400.949,35.6227,37.3016,-0.0610497,49.0232,45.8486
126,24.2424,21,351.289,92.3687,402.538,35.6227,38.0342,-0.0610497,49.6337,44.3834
127,24.2424,21,352.016,92.6129,402.538,35.6227,37.6679,-0.0610497,50.1221,46.0928
128,24.2424,21,352.366,92.6129,402.009,35.6227,37.9121,-0.0610497,49.8779,46.0928
129,24.2424,21,353.084,92.1245,401.479,35.6227,38.1563,-0.0610497,50.2442,46.5812
130,24.2424,21,354.163,91.514,402.009,35.6227,38.1563,-0.0610497,50,46.337
131,24.3448,21,354.534,91.0257,403.068,35.6227,38.5226,-0.0610497,49.0232,46.2149
132,24.3448,21,354.136,91.2698,403.068,35.6227,38.8889,-0.0610497,48.779,46.4591
133,24.6045,21,353.38,90.9035,403.598,35.6227,39.2552,-0.0610497,50.3663,46.0928
134,24.6045,21,352.242,90.9035,403.068,35.6227,39.8657,-0.0610497,48.779,47.3138
135,24.6045,21,351.122,92.0024,403.068,35.6227,39.011,-0.0610497,48.779,45.2381
136,24.6045,21,350.39,93.2234,403.598,35.6227,37.5458,-0.0610497,50.3663,45.9707
137,24.6045,21,350.008,92.9792,403.068,35.6227,39.8657,-0.0610497,49.0232,46.0928
138,24.6045,21,350.008,92.2466,403.068,35.6227,38.6447,-0.0610497,49.3895,45.7265
139,24.7343,21,350.739,92.735,403.068,35.6227,39.011,-0.0610497,48.9011,46.0928
140,24.5785,21,351.473,93.2234,403.068,35.6227,39.2552,-0.0610497,49.1453,46.8254
141,24.6305,21,351.841,93.4676,403.068,35.6227,37.9121,-0.0610497,49.6337,45.2381
142,24.6305,21,351.857,93.7118,403.598,35.6227,39.2552,-0.0610497,50,45.8486
143,24.7605,21,352.626,93.956,403.598,35.6227,39.3773,-0.0610497,51.5873,45.8486
144,24.7605,21,351.889,94.5665,403.598,35.6227,40.4762,-0.0610497,49.5116,46.337
145,24.7605,21,353.01,94.2002,404.128,35.6227,39.4994,-0.0610497,48.779,46.2149
146,24.7605,21,353.395,92.8571,403.598,35.6227,40.3541,-0.0610497,48.5348,46.2149
147,24.7605,21,353.025,92.1245,403.598,35.6227,38.8889,-0.0610497,50.1221,45.4823
148,24.7605,21,353.025,92.1245,403.598,35.6227,38.1563,-0.0610497,50.4884,46.5812
149,24.7605,21,352.672,92.4908,403.598,35.6227,38.4005,-0.0610497,48.5348,46.2149
150,24.7605,21,352.672,92.8571,402.538,35.6227,39.2552,-0.0610497,48.2906,46.2149
151,24.7605,21,351.921,92.8571,401.479,35.6227,38.8889,-0.0610497,49.1453,46.0928
152,24.7605,21,351.173,92.6129,403.068,35.6227,38.0342,-0.0610497,50.3663,46.8254
153,24.7605,21,349.68,92.6129,403.598,35.6227,38.2784,-0.0610497,49.2674,46.5812
154,24.8655,21,349.298,92.6129,403.068,35.6227,37.9121,-0.0610497,47.6801,47.0696
155,24.8655,21,348.936,92.6129,402.538,35.6227,38.2784,-0.0610497,47.558,45.9707
156,24.6826,21,347.812,93.1013,404.658,35.6227,38.2784,-0.0610497,50.6105,46.5812
157,24.8129,21,345.953,92.735,403.598,35.6227,37.1795,-0.0610497,49.8779,45.4823
158,24.8129,21,343.794,92.9792,404.128,35.6227,38.2784,-0.0610497,50.3663,45.3602
159,24.8129,21,341.631,92.9792,403.598,35.6227,38.8889,-0.0610497,49.2674,45.9707
160,24.8129,21,340.208,92.9792,403.068,35.6227,39.3773,-0.0610497,48.5348,45.4823
161,24.6826,21,337.672,92.9792,402.009,35.6227,39.7436,-0.0610497,48.6569,46.7033
162,24.6826,21,336.581,92.9792,402.538,35.6227,37.9121,-0.0610497,50,46.8254
163,24.6826,21,335.086,92.9792,403.598,35.6227,39.3773,-0.0610497,51.5873,46.9475
164,24.6826,21,334.679,92.4908,404.658,35.6227,38.0342,-0.0610497,49.6337,46.7033
165,24.6826,21,334.679,92.1245,404.658,35.6227,38.1563,-0.0610497,49.2674,47.4359
166,24.6826,21,333.93,92.1245,404.128,35.6227,38.0342,-0.0610497,50.2442,45.9707
167,24.6305,21,332.843,92.1245,403.598,35.6227,37.79,-0.0610497,49.1453,46.5812
168,24.6305,21,332.843,91.6361,403.068,35.6227,38.4005,-0.0610497,50.4884,47.0696
169,24.3191,21,332.131,91.3919,402.009,35.6227,38.5226,-0.0610497,50.6105,46.337
170,24.3191,21,332.131,91.3919,402.538,35.6227,38.2784,-0.0610497,50.1221,46.0928
171,24.3191,21,331.794,90.7814,403.068,35.6227,38.8889,-0.0610497,49.7558,47.3138
172,24.3191,21,331.158,90.5372,402.009,35.6227,38.7668,-0.0610497,48.6569,46.337
173,24.1132,21,331.303,90.293,402.009,35.6227,38.6447,-0.0610497,49.8779,46.9475
174,24.1132,21,332.044,89.9268,403.598,35.6227,40.5983,-0.0610497,50.2442,46.8254
175,24.1132,21,332.414,89.9268,403.068,35.6227,41.2088,-0.0610497,48.4127,46.5812
176,24.1132,21,334.909,90.293,402.538,35.6227,38.6447,-0.0610497,50.6105,46.5812
177,23.9085,21,337.419,89.9268,402.009,35.6227,39.7436,-0.0610497,49.3895,46.337
178,23.9085,21,339.599,89.9268,402.538,35.6227,38.6447,-0.0610497,48.6569,45.7265
179,23.9085,21,343.211,89.6825,402.009,35.6227,37.9121,-0.0610497,49.7558,45.4823
180,23.7839,21,344.29,89.6825,402.009,35.6227,37.9121,-0.0610497,49.6337,46.4591
181,23.7839,21,347.594,89.4383,402.538,35.6227,39.3773,-0.0610497,51.7094,46.8254
182,23.7839,21,349.842,89.1941,403.598,35.6227,39.011,-0.0610497,50.1221,46.0928
183,23.7839,21,350.959,89.5604,403.598,35.6227,39.011,-0.0610497,49.8779,46.4591
184,23.7839,21,353.566,91.3919,402.538,35.6227,38.5226,-0.0610497,49.5116,46.8254
185,23.7839,21,353.946,91.8803,402.538,35.6227,39.011,-0.0610497,49.1453,47.0696
186,23.7881,21,354.692,93.3455,403.068,35.6227,40.232,-0.0610497,50.4884,45.3602
187,23.7881,21,354.692,93.956,403.068,35.6227,40.232,-0.0610497,51.3431,46.8254
188,23.7881,21,355.059,94.5665,403.598,35.6227,39.8657,-0.0610497,50.3663,46.0928
189,23.7881,21,353.932,93.3455,404.128,35.6227,38.1563,-0.0610497,50.7326,46.337
190,23.8909,21,353.552,93.5897,403.598,35.6227,37.3016,-0.0610497,50,45.6044
191,23.8909,21,352.807,94.3223,403.598,35.6227,38.7668,-0.0610497,49.8779,46.5812
192,24.1708,21,350.581,94.9329,403.598,35.6227,38.1563,-0.0610497,50.1221,46.9475
193,24.0183,21,349.464,95.1771,404.658,35.6227,39.011,-0.0610497,49.7558,46.8254
194,24.1708,21,348.727,95.2991,405.718,35.6227,39.6215,-0.0610497,50.8547,46.9475
195,24.1708,21,348.727,94.9329,405.718,35.6227,40.8425,-0.0610497,51.8315,45.8486
196,24.1708,21,346.525,94.5665,403.598,35.6227,41.0867,-0.0610497,51.4652,46.8254
197,24.3488,21,345.794,94.2002,403.598,35.6227,39.3773,-0.0610497,50.8547,46.7033
198,24.6044,21,345.418,94.2002,404.658,35.6227,38.5226,-0.0610497,50.4884,46.0928
199,24.6044,21,344.689,94.2002,405.188,35.6227,38.2784,-0.0610497,51.0989,46.7033
200,24.7838,21,343.586,94.2002,405.718,35.6227,39.1331,-0.0610497,51.4652,45.9707
201,24.7838,21,343.586,94.4445,405.718,35.6227,38.1563,-0.0610497,52.1978,46.5812
202,24.7838,21,342.536,94.0781,404.658,35.6227,39.011,-0.0610497,50.6105,45.7265
203,25.0399,21,341.146,94.0781,404.128,35.6227,38.5226,-0.0610497,50.7326,46.337
204,24.9118,21,339.081,95.0549,405.188,35.6227,38.4005,-0.0610497,50.1221,47.8022
205,25.066,21,337.379,96.398,405.188,35.6227,37.79,-0.0610497,49.8779,46.7033
206,25.066,21,336.367,96.398,405.718,35.6227,38.6447,-0.0610497,52.8083,46.4591
207,25.066,21,334.327,96.1538,405.188,35.6227,39.4994,-0.0610497,52.3199,47.0696
208,25.168,21,332.933,96.5201,405.718,35.6227,38.2784,-0.0610497,48.779,46.5812
209,25.168,21,331.473,96.7643,405.718,35.6227,39.8657,-0.0610497,51.4652,45.8486
210,25.0636,21,331.072,96.7643,404.658,35.6227,39.4994,-0.0610497,51.5873,46.7033
211,25.0636,21,329.612,96.1538,405.188,35.6227,39.9878,-0.0610497,49.5116,47.3138
212,25.1912,21,328.151,95.4212,406.248,35.6227,39.6215,-0.0610497,51.0989,46.9475
213,25.1912,21,327.381,94.9329,405.188,35.6227,39.6215,-0.0610497,50.4884,46.7033
214,25.1912,21,325.229,94.6887,404.658,35.6227,39.4994,-0.0610497,51.4652,47.1917
215,24.9601,21,323.768,93.8339,405.188,35.6227,37.5458,-0.0610497,53.5409,46.7033
216,24.9601,21,322.628,93.2234,404.658,35.6227,38.1563,-0.0610497,51.221,46.2149
217,24.9601,21,320.527,92.3687,405.718,35.6227,37.9121,-0.0610497,50.4884,46.9475
218,24.9601,21,318.435,91.6361,405.188,35.6227,38.5226,-0.0610497,49.8779,46.9475
219,24.9601,21,315.777,91.6361,404.658,35.6227,38.7668,-0.0610497,50.4884,45.3602
220,24.9601,21,313.453,92.8571,405.188,35.6227,38.6447,-0.0610497,51.0989,46.7033
221,24.982,21,311.812,93.956,405.188,35.6227,38.7668,-0.0610497,52.0757,45.8486
222,24.8307,21,310.787,93.3455,405.718,35.6227,39.2552,-0.0610497,52.0757,47.3138
223,24.8307,21,309.462,91.2698,404.658,35.6227,39.011,-0.0610497,50.2442,45.8486
224,24.6044,21,309.16,90.0488,405.188,35.6227,39.7436,-0.0610497,51.7094,46.9475
225,24.6044,21,308.558,89.6825,405.188,35.6227,39.4994,-0.0610497,49.2674,47.3138
226,24.6044,21,308.558,88.9499,404.658,35.6227,39.7436,-0.0610497,49.2674,46.8254
227,24.4798,21,307.958,89.5604,404.658,35.6227,39.2552,-0.0610497,50,46.8254
228,24.4798,21,307.659,90.9035,404.658,35.6227,39.2552,-0.0610497,50.4884,46.9475
229,24.4798,21,308.372,91.514,404.658,35.6227,38.2784,-0.0610497,49.8779,47.3138
230,24.306,21,308.073,91.1477,404.658,35.6227,39.1331,-0.0610497,50.3663,46.5812
231,24.306,21,308.372,89.9268,405.188,35.6227,39.9878,-0.0610497,50.9768,47.3138
232,23.9364,21,308.073,89.1941,405.188,35.6227,38.8889,-0.0610497,51.0989,46.337
233,23.9364,21,308.073,88.2173,404.658,35.6227,38.2784,-0.0610497,51.5873,46.9475
234,23.9364,21,307.774,87.9731,405.188,35.6227,38.1563,-0.0610497,52.442,46.5812
235,23.9364,21,307.062,87.6068,405.188,35.6227,38.0342,-0.0610497,49.7558,46.0928
236,23.6936,21,306.765,86.9963,405.188,35.6227,39.011,-0.0610497,50.8547,46.8254
237,23.5234,21,306.053,86.7521,404.128,35.6227,37.79,-0.0610497,53.5409,45.9707
238,23.5234,21,305.698,86.7521,404.128,35.6227,38.2784,-0.0610497,50.3663,46.8254
239,23.3307,21,306.291,86.5079,404.128,35.6227,38.5226,-0.0610497,52.0757,46.5812
240,23.3307,21,305.222,86.5079,404.128,35.6227,37.79,-0.0610497,52.1978,46.337
241,23.1621,21,304.866,86.1416,403.598,35.6227,38.1563,-0.0610497,50.9768,47.0696
242,23.1621,21,304.387,85.7753,404.128,35.6227,40.4762,-0.0610497,53.0525,45.8486
243,23.1621,21,302.371,85.7753,403.598,35.6227,40.3541,-0.0610497,54.0293,46.7033
244,23.1621,21,299.912,85.5311,404.128,35.6227,39.011,-0.0610497,51.5873,46.9475
245,23.0476,21,297.062,85.2869,404.128,35.6227,39.6215,-0.0610497,50.8547,46.4591
246,23.0476,21,294.52,85.5311,404.128,35.6227,39.011,-0.0610497,50.8547,46.0928
247,22.6921,21,292.698,86.7521,403.598,35.6227,39.3773,-0.0610497,51.3431,45.9707
248,22.6921,21,291.165,87.851,403.598,35.6227,37.79,-0.0610497,51.4652,46.2149
249,22.6921,21,288.623,87.4847,403.598,35.6227,39.2552,-0.0610497,51.0989,46.4591
250,22.5489,21,287.313,85.8974,404.128,35.6227,39.3773,-0.0610497,49.6337,46.5812
251,22.5489,21,286.158,84.9206,403.598,35.6227,39.011,-0.0610497,48.779,47.0696
252,22.2965,21,286.158,84.9206,404.128,35.6227,38.8889,-0.0610497,50,46.9475
253,22.2965,21,286.158,84.6764,404.658,35.6227,38.0342,-0.0610497,50.7326,45.9707
254,22.2965,21,286.158,84.4322,404.128,34.0354,38.2784,-0.0610497,49.1453,46.8254
255,22.2965,21,286.006,84.4322,405.188,33.7302,38.6447,-0.0610497,50.2442,45.9707
256,22.0685,21,286.006,84.4322,404.658,33.7302,40.4762,-0.0610497,52.6862,45.8486
257,22.0685,21,285.852,83.5775,403.598,33.6691,39.1331,-0.0610497,51.5873,46.337
258,22.0685,21,285.506,83.3333,404.128,33.547,40.4762,-0.0610497,52.8083,46.7033
259,21.9063,21,284.814,82.967,404.658,33.486,40.232,-0.0610497,51.221,46.7033
260,21.9063,21,284.121,82.6007,404.128,33.486,40.3541,-0.0610497,51.5873,47.0696
261,21.8005,21,283.853,81.8681,405.188,33.4249,39.2552,-0.0610497,53.4188,45.8486
262,21.5421,21,283.507,81.6239,405.188,33.3639,38.5226,-0.0610497,53.7851,45.9707
263,21.5421,21,282.018,81.3797,405.188,33.2418,40.3541,-0.0610497,52.1978,45.4823
264,21.3411,21,281.409,81.1355,404.128,33.1197,41.6972,-0.0610497,52.6862,46.5812
265,21.1821,21,279.85,81.1355,404.128,33.0586,39.4994,-0.0610497,50.3663,45.8486
266,21.1821,21,278.462,81.1355,404.658,32.9976,38.7668,-0.0610497,50.6105,46.337
267,21.0439,21,277.091,81.6239,404.658,32.7534,39.1331,-0.0610497,50.8547,46.4591
